ID	Kor	Jap	Eng
1	이상해씨	フシギダネ	Bulbasaur
2	이상해풀	フシギソウ	Ivysaur
3	이상해꽃	フシギバナ	Venusaur
4	파이리	ヒトカゲ	Charmander
5	리자드	リザ?ド	Charmeleon
6	리자몽	リザ?ドン	Charizard
7	꼬부기	ゼニガメ	Squirtle
8	어니부기	カメ?ル	Wartortle
9	거북왕	カメックス	Blastoise
10	캐터피	キャタピ?	Caterpie
11	단데기	トランセル	Metapod
12	버터플	バタフリ?	Butterfree
13	뿔충이	ビ?ドル	Weedle
14	딱충이	コク?ン	Kakuna
15	독침붕	スピア?	Beedrill
16	구구	ポッポ	Pidgey
17	피죤	ピジョン	Pidgeotto
18	피죤투	ピジョット	Pidgeot
19	꼬렛	コラッタ	Rattata
20	레트라	ラッタ	Raticate
21	깨비참	オニスズメ	Spearow
22	깨비드릴조	オニドリル	Fearow
23	아보	ア?ボ	Ekans
24	아보크	ア?ボック	Arbok
25	피카츄	ピカチュウ	Pikachu
26	라이츄	ライチュウ	Raichu
27	모래두지	サンド	Sandshrew
28	고지	サンドパン	Sandslash
29	니드런♀	ニドラン♀	Nidoran♀
30	니드리나	ニドリ?ナ	Nidorina
31	니드퀸	ニドクイン	Nidoqueen
32	니드런♂	ニドラン♂	Nidoran♂
33	니드리노	ニドリ?ノ	Nidorino
34	니드킹	ニドキング	Nidoking
35	삐삐	ピッピ	Clefairy
36	픽시	ピクシ?	Clefable
37	식스테일	ロコン	Vulpix
38	나인테일	キュウコン	Ninetales
39	푸린	プリン	Jigglypuff
40	푸크린	プクリン	Wigglytuff
41	주뱃	ズバット	Zubat
42	골뱃	ゴルバット	Golbat
43	뚜벅쵸	ナゾノクサ	Oddish
44	냄새꼬	クサイハナ	Gloom
45	라플레시아	ラフレシア	Vileplume
46	파라스	パラス	Paras
47	파라섹트	パラセクト	Parasect
48	콘팡	コンパン	Venonat
49	도나리	モルフォン	Venomoth
50	디그다	ディグダ	Diglett
51	닥트리오	ダグトリオ	Dugtrio
52	나옹	ニャ?ス	Meowth
53	페르시온	ペルシアン	Persian
54	고라파덕	コダック	Psyduck
55	골덕	ゴルダック	Golduck
56	망키	マンキ?	Mankey
57	성원숭	オコリザル	Primeape
58	가디	ガ?ディ	Growlithe
59	윈디	ウインディ	Arcanine
60	발챙이	ニョロモ	Poliwag
61	슈륙챙이	ニョロゾ	Poliwhirl
62	강챙이	ニョロボン	Poliwrath
63	캐이시	ケ?シィ	Abra
64	윤겔라	ユンゲラ?	Kadabra
65	후딘	フ?ディン	Alakazam
66	알통몬	ワンリキ?	Machop
67	근육몬	ゴ?リキ?	Machoke
68	괴력몬	カイリキ?	Machamp
69	모다피	マダツボミ	Bellsprout
70	우츠동	ウツドン	Weepinbell
71	우츠보트	ウツボット	Victreebel
72	왕눈해	メノクラゲ	Tentacool
73	독파리	ドククラゲ	Tentacruel
74	꼬마돌	イシツブテ	Geodude
75	데구리	ゴロ?ン	Graveler
76	딱구리	ゴロ?ニャ	Golem
77	포니타	ポニ?タ	Ponyta
78	날쌩마	ギャロップ	Rapidash
79	야돈	ヤドン	Slowpoke
80	야도란	ヤドラン	Slowbro
81	코일	コイル	Magnemite
82	레어코일	レアコイル	Magneton
83	파오리	カモネギ	Farfetch'd
84	두두	ド?ド?	Doduo
85	두트리오	ド?ドリオ	Dodrio
86	쥬쥬	パウワウ	Seel
87	쥬레곤	ジュゴン	Dewgong
88	질퍽이	ベトベタ?	Grimer
89	질뻐기	ベトベトン	Muk
90	셀러	シェルダ?	Shellder
91	파르셀	パルシェン	Cloyster
92	고오스	ゴ?ス	Gastly
93	고우스트	ゴ?スト	Haunter
94	팬텀	ゲンガ?	Gengar
95	롱스톤	イワ?ク	Onix
96	슬리프	スリ?プ	Drowzee
97	슬리퍼	スリ?パ?	Hypno
98	크랩	クラブ	Krabby
99	킹크랩	キングラ?	Kingler
100	찌리리공	ビリリダマ	Voltorb
101	붐볼	マルマイン	Electrode
102	아라리	タマタマ	Exeggcute
103	나시	ナッシ?	Exeggutor
104	탕구리	カラカラ	Cubone
105	텅구리	ガラガラ	Marowak
106	시라소몬	サワムラ?	Hitmonlee
107	홍수몬	エビワラ?	Hitmonchan
108	내루미	ベロリンガ	Lickitung
109	또가스	ドガ?ス	Koffing
110	또도가스	マタドガス	Weezing
111	뿔카노	サイホ?ン	Rhyhorn
112	코뿌리	サイドン	Rhydon
113	럭키	ラッキ?	Chansey
114	덩쿠리	モンジャラ	Tangela
115	캥카	ガル?ラ	Kangaskhan
116	쏘드라	タッツ?	Horsea
117	시드라	シ?ドラ	Seadra
118	콘치	トサキント	Goldeen
119	왕콘치	アズマオウ	Seaking
120	별가사리	ヒトデマン	Staryu
121	아쿠스타	スタ?ミ?	Starmie
122	마임맨	バリヤ?ド	Mr. Mime
123	스라크	ストライク	Scyther
124	루주라	ル?ジュラ	Jynx
125	에레브	エレブ?	Electabuzz
126	마그마	ブ?バ?	Magmar
127	쁘사이저	カイロス	Pinsir
128	켄타로스	ケンタロス	Tauros
129	잉어킹	コイキング	Magikarp
130	갸라도스	ギャラドス	Gyarados
131	라프라스	ラプラス	Lapras
132	메타몽	メタモン	Ditto
133	이브이	イ?ブイ	Eevee
134	샤미드	シャワ?ズ	Vaporeon
135	쥬피썬더	サンダ?ス	Jolteon
136	부스터	ブ?スタ?	Flareon
137	폴리곤	ポリゴン	Porygon
138	암나이트	オムナイト	Omanyte
139	암스타	オムスタ?	Omastar
140	투구	カブト	Kabuto
141	투구푸스	カブトプス	Kabutops
142	프테라	プテラ	Aerodactyl
143	잠만보	カビゴン	Snorlax
144	프리져	フリ?ザ?	Articuno
145	썬더	サンダ?	Zapdos
146	파이어	ファイヤ?	Moltres
147	미뇽	ミニリュウ	Dratini
148	신뇽	ハクリュ?	Dragonair
149	망나뇽	カイリュ?	Dragonite
150	뮤츠	ミュウツ?	Mewtwo
151	뮤	ミュウ	Mew
152	치코리타	チコリ?タ	Chikorita
153	베이리프	ベイリ?フ	Bayleef
154	메가니움	メガニウム	Meganium
155	브케인	ヒノアラシ	Cyndaquil
156	마그케인	マグマラシ	Quilava
157	블레이범	バクフ?ン	Typhlosion
158	리아코	ワニノコ	Totodile
159	엘리게이	アリゲイツ	Croconaw
160	장크로다일	オ?ダイル	Feraligatr
161	꼬리선	オタチ	Sentret
162	다꼬리	オオタチ	Furret
163	부우부	ホ?ホ?	Hoothoot
164	야부엉	ヨルノズク	Noctowl
165	레디바	レディバ	Ledyba
166	레디안	レディアン	Ledian
167	페이검	イトマル	Spinarak
168	아리아도스	アリアドス	Ariados
169	크로뱃	クロバット	Crobat
170	초라기	チョンチ?	Chinchou
171	랜턴	ランタ?ン	Lanturn
172	피츄	ピチュ?	Pichu
173	삐	ピィ	Cleffa
174	푸푸린	ププリン	Igglybuff
175	토게피	トゲピ?	Togepi
176	토게틱	トゲチック	Togetic
177	네이티	ネイティ	Natu
178	네이티오	ネイティオ	Xatu
179	메리프	メリ?プ	Mareep
180	보송송	モココ	Flaaffy
181	전룡	デンリュウ	Ampharos
182	아르코	キレイハナ	Bellossom
183	마릴	マリル	Marill
184	마릴리	マリルリ	Azumarill
185	꼬지모	ウソッキ?	Sudowoodo
186	왕구리	ニョロトノ	Politoed
187	통통코	ハネッコ	Hoppip
188	두코	ポポッコ	Skiploom
189	솜솜코	ワタッコ	Jumpluff
190	에이팜	エイパム	Aipom
191	해너츠	ヒマナッツ	Sunkern
192	해루미	キマワリ	Sunflora
193	왕자리	ヤンヤンマ	Yanma
194	우파	ウパ?	Wooper
195	누오	ヌオ?	Quagsire
196	에브이	エ?フィ	Espeon
197	블래키	ブラッキ?	Umbreon
198	니로우	ヤミカラス	Murkrow
199	야도킹	ヤドキング	Slowking
200	무우마	ムウマ	Misdreavus
201	안농	アンノ?ン	Unown
202	마자용	ソ?ナンス	Wobbuffet
203	키링키	キリンリキ	Girafarig
204	피콘	クヌギダマ	Pineco
205	쏘콘	フォレトス	Forretress
206	노고치	ノコッチ	Dunsparce
207	글라이거	グライガ?	Gligar
208	강철톤	ハガネ?ル	Steelix
209	블루	ブル?	Snubbull
210	그랑블루	グランブル	Granbull
211	침바루	ハリ?セン	Qwilfish
212	핫삼	ハッサム	Scizor
213	단단지	ツボツボ	Shuckle
214	헤라크로스	ヘラクロス	Heracross
215	포푸니	ニュ?ラ	Sneasel
216	깜지곰	ヒメグマ	Teddiursa
217	링곰	リングマ	Ursaring
218	마그마그	マグマッグ	Slugma
219	마그카르고	マグカルゴ	Magcargo
220	꾸꾸리	ウリム?	Swinub
221	메꾸리	イノム?	Piloswine
222	코산호	サニ?ゴ	Corsola
223	총어	テッポウオ	Remoraid
224	대포무노	オクタン	Octillery
225	딜리버드	デリバ?ド	Delibird
226	만타인	マンタイン	Mantine
227	무장조	エア?ムド	Skarmory
228	델빌	デルビル	Houndour
229	헬가	ヘルガ?	Houndoom
230	킹드라	キングドラ	Kingdra
231	코코리	ゴマゾウ	Phanpy
232	코리갑	ドンファン	Donphan
