Num	Jap	Eng	Kor
1	はたく	Pound	막치기
2	からてチョップ	Karate Chop	태권당수
3	おうふくビンタ	Double Slap	연속뺨치기
4	れんぞくパンチ	Comet Punch	연속펀치
5	メガトンパンチ	Mega Punch	메가톤펀치
6	ネコにこばん	Pay Day	고양이돈받기
7	ほのおのパンチ	Fire Punch	불꽃펀치
8	れいとうパンチ	Ice Punch	냉동펀치
9	かみなりパンチ	Thunder Punch	번개펀치
10	ひっかく	Scratch	할퀴기
11	はさむ	Vise Grip	찝기
12	ハサミギロチン	Guillotine	가위자르기
13	かまいたち	Razor Wind	칼바람
14	つるぎのまい	Swords Dance	칼춤
15	いあいぎり	Cut	풀베기
16	かぜおこし	Gust	바람일으키기
17	つばさでうつ	Wing Attack	날개치기
18	ふきとばし	Whirlwind	날려버리기
19	そらをとぶ	Fly	공중날기
20	しめつける	Bind	조이기
21	たたきつける	Slam	힘껏치기
22	つるのムチ	Vine Whip	덩굴채찍
23	ふみつけ	Stomp	짓밟기
24	にどげり	Double Kick	두번치기
25	メガトンキック	Mega Kick	메가톤킥
26	とびげり	Jump Kick	점프킥
27	まわしげり	Rolling Kick	돌려차기
28	すなかけ	Sand Attack	모래뿌리기
29	ずつき	Headbutt	박치기
30	つのでつく	Horn Attack	뿔찌르기
31	みだれづき	Fury Attack	마구찌르기
32	つのドリル	Horn Drill	뿔드릴
33	たいあたり	Tackle	몸통박치기
34	のしかかり	Body Slam	누르기
35	まきつく	Wrap	김밥말이
36	とっしん	Take Down	돌진
37	あばれる	Thrash	난동부리기
38	すてみタックル	Double-Edge	이판사판태클
39	しっぽをふる	Tail Whip	꼬리흔들기
40	どくばり	Poison Sting	독침
41	ダブルニ?ドル	Twineedle	더블니들
42	ミサイルばり	Pin Missile	바늘미사일
43	にらみつける	Leer	째려보기
44	かみつく	Bite	물기
45	なきごえ	Growl	울음소리
46	ほえる	Roar	울부짖기
47	うたう	Sing	노래하기
48	ちょうおんぱ	Supersonic	초음파
49	ソニックブ?ム	Sonic Boom	소닉붐
50	かなしばり	Disable	사슬묶기
51	ようかいえき	Acid	용해액
52	ひのこ	Ember	불꽃세례
53	かえんほうしゃ	Flamethrower	화염방사
54	しろいきり	Mist	흰안개
55	みずでっぽう	Water Gun	물대포
56	ハイドロポンプ	Hydro Pump	하이드로펌프
57	なみのり	Surf	파도타기
58	れいとうビ?ム	Ice Beam	냉동빔
59	ふぶき	Blizzard	눈보라
60	サイケこうせん	Psybeam	환상빔
61	バブルこうせん	Bubble Beam	거품광선
62	オ?ロラビ?ム	Aurora Beam	오로라빔
63	はかいこうせん	Hyper Beam	파괴광선
64	つつく	Peck	쪼기
65	ドリルくちばし	Drill Peck	회전부리
66	じごくぐるま	Submission	지옥의바퀴
